ID,Common_name,Binomial,Country,Region,Genus,Species,Year,Population
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1967,6000.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1968,6400.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1969,7600.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1970,8200.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1971,8700.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1972,7800.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1973,7500.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1974,7800.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1975,7600.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1976,7400.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1977,7000.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1978,7500.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1979,7300.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1980,7250.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1981,7200.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1982,8000.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1983,8500.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1984,8300.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1985,6800.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1986,7400.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1987,6900.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1988,7200.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1989,7300.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1990,7200.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1991,7250.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1992,7400.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1993,7600.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1994,7900.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1995,8100.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1996,8300.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1997,8300.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1998,9000.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1999,9300.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,2000,8500.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,2001,9400.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,2002,10500.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,2003,11500.0
111,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,2004,11454.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1970,8350.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1975,7456.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1980,7399.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1985,7592.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1990,7405.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,1995,8063.0
112,African elephant,Loxodonta_africana,South Africa,Africa,Loxodonta,africana,2000,9248.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1959,380.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1961,421.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1965,421.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1967,300.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1970,427.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1975,386.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1976,453.0
113,African elephant,Loxodonta_africana,"Tanzania, United Republic Of",Africa,Loxodonta,africana,1981,483.0
